MES_INICIO,RHS_FINAL_VOL,USINA,LAG,MLT,FATOR,PERC_MLT,CONTRIB,PIAFL,CALC_AFL,RHS_FINAL
6,1002224871.09257,FUNIL-GRANDE,1,527.8749327956989,2.63,80,1110.6488586021503,-5367.67275,-5961599.613137365,996263271.4794326
6,996263271.4794326,FUNIL-GRANDE,2,702.1161290322582,2.63,80,1477.2523354838713,-751.19257,-1109700.9784306316,995153570.501002
6,995153570.501002,FUNIL-GRANDE,3,723.3913306451611,2.63,80,1522.015359677419,95.48968,145336.75965068163,995298907.2606527
6,995298907.2606527,FUNIL-GRANDE,4,641.1242607526881,2.63,80,1348.9254446236557,-258.57576,-348799.4220268997,994950107.8386258
6,994950107.8386258,FUNIL-GRANDE,5,510.64200268817206,2.63,80,1074.390773655914,-190.91181,-205113.88724595087,994744993.9513799
6,994744993.9513799,FUNIL-GRANDE,6,343.9133064516129,2.63,80,723.5935967741935,-189.95146,-137447.66015390935,994607546.291226
6,994607546.291226,FUNIL-GRANDE,7,225.74032258064517,2.63,80,474.95763870967744,-122.67124,-58263.64248798813,994549282.648738
6,994549282.648738,FUNIL-GRANDE,8,177.64032258064518,2.63,80,373.7552387096775,-117.20691,-43806.69662547368,994505475.9521126
6,994505475.9521126,FUNIL-GRANDE,9,155.65141129032259,2.63,80,327.4905693548387,-128.8805,-42207.1483237363,994463268.8037888
6,994463268.8037888,FUNIL-GRANDE,10,176.98487903225805,2.63,80,372.3761854838709,-55.26329,-20578.733127488948,994442690.0706613
6,994442690.0706613,FUNIL-GRANDE,11,243.2369623655914,2.63,80,511.7705688172043,-42.60809,-21805.566455514632,994420884.5042058
6,994420884.5042058,FUNIL-GRANDE,12,356.4777553763441,2.63,80,750.0291973118279,-17.08243,-12812.321261035488,994408072.1829448
6,994237468.6141686,ITAIPU,1,527.8749327956989,2.63,80,1110.6488586021503,-2767.09904,-3073275.390415106,991164193.2237536
6,991164193.2237536,ITAIPU,2,702.1161290322582,2.63,80,1477.2523354838713,-933.93102,-1379651.7804758342,989784541.4432777
6,989784541.4432777,ITAIPU,3,723.3913306451611,2.63,80,1522.015359677419,-867.05213,-1319666.6595010222,988464874.7837766
6,988464874.7837766,ITAIPU,4,641.1242607526881,2.63,80,1348.9254446236557,-594.69141,-802194.3746481187,987662680.4091285
6,987662680.4091285,ITAIPU,5,510.64200268817206,2.63,80,1074.390773655914,-488.66262,-525014.6103585259,987137665.7987701
6,987137665.7987701,ITAIPU,6,343.9133064516129,2.63,80,723.5935967741935,-439.28559,-317864.2400791737,986819801.5586909
6,986819801.5586909,ITAIPU,7,225.74032258064517,2.63,80,474.95763870967744,-399.72645,-189853.13082180195,986629948.4278691
6,986629948.4278691,ITAIPU,8,177.64032258064518,2.63,80,373.7552387096775,-349.63037,-130676.18239950287,986499272.2454696
6,986499272.2454696,ITAIPU,9,155.65141129032259,2.63,80,327.4905693548387,-286.06647,-93684.07113362888,986405588.174336
6,986405588.174336,ITAIPU,10,176.98487903225805,2.63,80,372.3761854838709,-188.88559,-70336.4954970704,986335251.6788388
6,986335251.6788388,ITAIPU,11,243.2369623655914,2.63,80,511.7705688172043,-185.05485,-94705.62584688242,986240546.052992
6,986240546.052992,ITAIPU,12,356.4777553763441,2.63,80,750.0291973118279,-75.08448,-56315.552264975995,986184230.500727
6,986183486.2641511,CAPIM BRANC2,1,527.8749327956989,2.63,80,1110.6488586021503,-5279.82079,-5864026.934037403,980319459.3301136
6,980319459.3301136,CAPIM BRANC2,2,702.1161290322582,2.63,80,1477.2523354838713,-2035.21801,-3006530.558491337,977312928.7716223
6,977312928.7716223,CAPIM BRANC2,3,723.3913306451611,2.63,80,1522.015359677419,158.54204,241303.42003459172,977554232.191657
6,977554232.191657,CAPIM BRANC2,4,641.1242607526881,2.63,80,1348.9254446236557,-38.67597,-52171.00002850117,977502061.1916285
6,977502061.1916285,CAPIM BRANC2,5,510.64200268817206,2.63,80,1074.390773655914,-33.27583,-35751.24473774267,977466309.9468907
6,977466309.9468907,CAPIM BRANC2,6,343.9133064516129,2.63,80,723.5935967741935,-342.61093,-247911.07513285146,977218398.8717579
6,977218398.8717579,CAPIM BRANC2,7,225.74032258064517,2.63,80,474.95763870967744,-242.0037,-114941.50591100517,977103457.3658469
6,977103457.3658469,CAPIM BRANC2,8,177.64032258064518,2.63,80,373.7552387096775,-273.84312,-102350.30068460286,977001107.0651623
6,977001107.0651623,CAPIM BRANC2,9,155.65141129032259,2.63,80,327.4905693548387,-151.75494,-49698.31170300939,976951408.7534593
6,976951408.7534593,CAPIM BRANC2,10,176.98487903225805,2.63,80,372.3761854838709,-147.46585,-54912.770712136684,976896495.9827472
6,976896495.9827472,CAPIM BRANC2,11,243.2369623655914,2.63,80,511.7705688172043,-75.45367,-38614.96761524562,976857881.015132
6,976857881.015132,CAPIM BRANC2,12,356.4777553763441,2.63,80,750.0291973118279,-13.28403,-9963.41035796624,976847917.604774
6,975864347.6370617,BATALHA,1,527.8749327956989,2.63,80,1110.6488586021503,-5078.57439,-5640512.849579612,970223834.7874821
6,970223834.7874821,BATALHA,2,702.1161290322582,2.63,80,1477.2523354838713,-3190.19156,-4712717.932650935,965511116.8548312
6,965511116.8548312,BATALHA,3,723.3913306451611,2.63,80,1522.015359677419,-734.15689,-1117398.0629930052,964393718.7918382
6,964393718.7918382,BATALHA,4,641.1242607526881,2.63,80,1348.9254446236557,-694.51456,-936848.3616456026,963456870.4301926
6,963456870.4301926,BATALHA,5,510.64200268817206,2.63,80,1074.390773655914,-497.10805,-534088.3024300828,962922782.1277626
6,962922782.1277626,BATALHA,6,343.9133064516129,2.63,80,723.5935967741935,-624.27501,-451721.3998621456,962471060.7279004
6,962471060.7279004,BATALHA,7,225.74032258064517,2.63,80,474.95763870967744,-62.97446,-29910.200820617032,962441150.5270798
6,962441150.5270798,BATALHA,8,177.64032258064518,2.63,80,373.7552387096775,-20.76987,-7762.847719818969,962433387.67936
6,962433387.67936,BATALHA,9,155.65141129032259,2.63,80,327.4905693548387,-110.17833,-36082.36402226531,962397305.3153378
6,962397305.3153378,BATALHA,10,176.98487903225805,2.63,80,372.3761854838709,-70.89224,-26398.581911607092,962370906.7334262
6,962370906.7334262,BATALHA,11,243.2369623655914,2.63,80,511.7705688172043,-82.09874,-42015.71886897577,962328891.0145572
6,962328891.0145572,BATALHA,12,356.4777553763441,2.63,80,750.0291973118279,-38.41568,-28812.881634588044,962300078.1329226
6,962300078.1329226,CACH.CALDEIR,1,527.8749327956989,2.63,80,1110.6488586021503,-102.89674,-114282.14683488222,962185795.9860878
6,962185795.9860878,CACH.CALDEIR,2,702.1161290322582,2.63,80,1477.2523354838713,4.93515,7290.461863463228,962193086.4479513
6,962193086.4479513,CACH.CALDEIR,3,723.3913306451611,2.63,80,1522.015359677419,-5.92345,-9015.581882281207,962184070.8660691
6,962184070.8660691,CACH.CALDEIR,4,641.1242607526881,2.63,80,1348.9254446236557,10.73369,14478.947555702487,962198549.8136247
6,962198549.8136247,CACH.CALDEIR,5,510.64200268817206,2.63,80,1074.390773655914,-2.5101,-2696.82828095371,962195852.9853438
6,962195852.9853438,CACH.CALDEIR,6,343.9133064516129,2.63,80,723.5935967741935,-2.43118,-1759.1862806054837,962194093.7990632
6,962194093.7990632,CACH.CALDEIR,7,225.74032258064517,2.63,80,474.95763870967744,-2.5899,-1230.0927884941937,962192863.7062747
6,962192863.7062747,CACH.CALDEIR,8,177.64032258064518,2.63,80,373.7552387096775,-1.97229,-737.1537197547099,962192126.552555
6,962192126.552555,CACH.CALDEIR,9,155.65141129032259,2.63,80,327.4905693548387,0.03819,12.506864843661292,962192139.0594198
6,962192139.0594198,CACH.CALDEIR,10,176.98487903225805,2.63,80,372.3761854838709,-0.09967,-37.114734407177416,962192101.9446853
6,962192101.9446853,CACH.CALDEIR,11,243.2369623655914,2.63,80,511.7705688172043,-1.51908,-777.4204356788388,962191324.5242497
6,962191324.5242497,CACH.CALDEIR,12,356.4777553763441,2.63,80,750.0291973118279,0.05671,42.534155779553764,962191367.0584054
6,959769002.3133814,SERRA FACAO,1,527.8749327956989,2.63,80,1110.6488586021503,-3732.07497,-4145024.8056481546,955623977.5077332
6,955623977.5077332,SERRA FACAO,2,702.1161290322582,2.63,80,1477.2523354838713,-1880.7545,-2778348.977596801,952845628.5301365
6,952845628.5301365,SERRA FACAO,3,723.3913306451611,2.63,80,1522.015359677419,-261.2586,-397639.60204781895,952447988.9280887
6,952447988.9280887,SERRA FACAO,4,641.1242607526881,2.63,80,1348.9254446236557,-406.22039,-547961.0201959448,951900027.9078927
6,951900027.9078927,SERRA FACAO,5,510.64200268817206,2.63,80,1074.390773655914,-493.21512,-529905.7743555945,951370122.133537
6,951370122.133537,SERRA FACAO,6,343.9133064516129,2.63,80,723.5935967741935,-577.04876,-417548.7877624884,950952573.3457745
6,950952573.3457745,SERRA FACAO,7,225.74032258064517,2.63,80,474.95763870967744,-60.14186,-28564.835813208003,950924008.5099614
6,950924008.5099614,SERRA FACAO,8,177.64032258064518,2.63,80,373.7552387096775,-26.21552,-9798.187935498325,950914210.3220259
6,950914210.3220259,SERRA FACAO,9,155.65141129032259,2.63,80,327.4905693548387,-56.53527,-18514.76776092953,950895695.554265
6,950895695.554265,SERRA FACAO,10,176.98487903225805,2.63,80,372.3761854838709,28.33122,10549.871633704353,950906245.4258987
6,950906245.4258987,SERRA FACAO,11,243.2369623655914,2.63,80,511.7705688172043,6.37727,3263.699095400893,950909509.124994
6,950909509.124994,SERRA FACAO,12,356.4777553763441,2.63,80,750.0291973118279,42.11232,31585.469566538835,950941094.5945606
6,950941094.5945606,VOLTA GRANDE,1,527.8749327956989,2.63,80,1110.6488586021503,-2656.94631,-2950934.386568695,947990160.207992
6,947990160.207992,VOLTA GRANDE,2,702.1161290322582,2.63,80,1477.2523354838713,174.15486,257270.67367086667,948247430.8816628
6,948247430.8816628,VOLTA GRANDE,3,723.3913306451611,2.63,80,1522.015359677419,-299.37933,-455659.9386299347,947791770.9430329
6,947791770.9430329,VOLTA GRANDE,4,641.1242607526881,2.63,80,1348.9254446236557,-96.31819,-129926.05727109575,947661844.8857617
6,947661844.8857617,VOLTA GRANDE,5,510.64200268817206,2.63,80,1074.390773655914,-113.51786,-121962.54142916373,947539882.3443326
6,947539882.3443326,VOLTA GRANDE,6,343.9133064516129,2.63,80,723.5935967741935,-65.44686,-47356.9288249771,947492525.4155076
6,947492525.4155076,VOLTA GRANDE,7,225.74032258064517,2.63,80,474.95763870967744,-4.37814,-2079.4310363403874,947490445.9844712
6,947490445.9844712,VOLTA GRANDE,8,177.64032258064518,2.63,80,373.7552387096775,-22.11541,-8265.750343712389,947482180.2341275
6,947482180.2341275,VOLTA GRANDE,9,155.65141129032259,2.63,80,327.4905693548387,9.42855,3087.7612076905643,947485267.9953352
6,947485267.9953352,VOLTA GRANDE,10,176.98487903225805,2.63,80,372.3761854838709,-23.81341,-8867.546779163467,947476400.4485561
6,947476400.4485561,VOLTA GRANDE,11,243.2369623655914,2.63,80,511.7705688172043,-38.39911,-19651.5343667744,947456748.9141893
6,947456748.9141893,VOLTA GRANDE,12,356.4777553763441,2.63,80,750.0291973118279,-19.73924,-14805.006332745526,947441943.9078566
6,947431711.0448781,CAPIM BRANC1,1,527.8749327956989,2.63,80,1110.6488586021503,-5837.85133,-6483802.916353545,940947908.1285245
6,940947908.1285245,CAPIM BRANC1,2,702.1161290322582,2.63,80,1477.2523354838713,-8649.07107,-12776860.437923485,928171047.6906011
6,928171047.6906011,CAPIM BRANC1,3,723.3913306451611,2.63,80,1522.015359677419,674.25618,1026228.2623174224,929197275.9529185
6,929197275.9529185,CAPIM BRANC1,4,641.1242607526881,2.63,80,1348.9254446236557,-598.07195,-806754.4710706868,928390521.4818479
6,928390521.4818479,CAPIM BRANC1,5,510.64200268817206,2.63,80,1074.390773655914,-41.53399,-44623.735649117,928345897.7461988
6,928345897.7461988,CAPIM BRANC1,6,343.9133064516129,2.63,80,723.5935967741935,-679.77058,-491877.63896347967,927854020.1072353
6,927854020.1072353,CAPIM BRANC1,7,225.74032258064517,2.63,80,474.95763870967744,-464.89927,-220807.45951705278,927633212.6477183
6,927633212.6477183,CAPIM BRANC1,8,177.64032258064518,2.63,80,373.7552387096775,-338.60271,-126554.5367037937,927506658.1110145
6,927506658.1110145,CAPIM BRANC1,9,155.65141129032259,2.63,80,327.4905693548387,-145.71569,-47720.514282033175,927458937.5967325
6,927458937.5967325,CAPIM BRANC1,10,176.98487903225805,2.63,80,372.3761854838709,-146.7165,-54633.730617544345,927404303.866115
6,927404303.866115,CAPIM BRANC1,11,243.2369623655914,2.63,80,511.7705688172043,-74.66876,-38213.273778075316,927366090.5923369
6,927366090.5923369,CAPIM BRANC1,12,356.4777553763441,2.63,80,750.0291973118279,11.39139,8543.875097965984,927374634.4674349
6,927374634.4674349,SALTO GRANDE,1,527.8749327956989,2.63,80,1110.6488586021503,-995.46354,-1105610.444481056,926269024.0229539
6,926269024.0229539,SALTO GRANDE,2,702.1161290322582,2.63,80,1477.2523354838713,-43.04202,-63583.9245689435,926205440.098385
6,926205440.098385,SALTO GRANDE,3,723.3913306451611,2.63,80,1522.015359677419,-229.81621,-349783.8015228513,925855656.2968621
6,925855656.2968621,SALTO GRANDE,4,641.1242607526881,2.63,80,1348.9254446236557,-44.72098,-60325.26783050561,925795331.0290316
6,925795331.0290316,SALTO GRANDE,5,510.64200268817206,2.63,80,1074.390773655914,-36.26611,-38963.973980390474,925756367.0550512
6,925756367.0550512,SALTO GRANDE,6,343.9133064516129,2.63,80,723.5935967741935,-29.67933,-21475.773144548224,925734891.2819066
6,925734891.2819066,SALTO GRANDE,7,225.74032258064517,2.63,80,474.95763870967744,-20.11892,-9555.634736588903,925725335.6471701
6,925725335.6471701,SALTO GRANDE,8,177.64032258064518,2.63,80,373.7552387096775,-12.47156,-4661.310884882066,925720674.3362852
6,925720674.3362852,SALTO GRANDE,9,155.65141129032259,2.63,80,327.4905693548387,-23.87038,-7817.324336916356,925712857.0119483
6,925712857.0119483,SALTO GRANDE,10,176.98487903225805,2.63,80,372.3761854838709,-22.85806,-8511.79719036145,925704345.214758
6,925704345.214758,SALTO GRANDE,11,243.2369623655914,2.63,80,511.7705688172043,-23.06193,-11802.417034122549,925692542.7977239
6,925692542.7977239,SALTO GRANDE,12,356.4777553763441,2.63,80,750.0291973118279,-19.87087,-14903.732675987683,925677639.0650479
6,925677550.3171282,JAURU,1,527.8749327956989,2.63,80,1110.6488586021503,-305.90121,-339748.82973151666,925337801.4873967
6,925337801.4873967,JAURU,2,702.1161290322582,2.63,80,1477.2523354838713,-311.48424,-460140.8210064187,924877660.6663903
6,924877660.6663903,JAURU,3,723.3913306451611,2.63,80,1522.015359677419,-283.2979,-431183.7551643575,924446476.9112259
6,924446476.9112259,JAURU,4,641.1242607526881,2.63,80,1348.9254446236557,-214.23267,-288983.89963266294,924157493.0115932
6,924157493.0115932,JAURU,5,510.64200268817206,2.63,80,1074.390773655914,-206.1033,-221435.48394003694,923936057.5276532
6,923936057.5276532,JAURU,6,343.9133064516129,2.63,80,723.5935967741935,-102.13532,-73904.46355648321,923862153.0640967
6,923862153.0640967,JAURU,7,225.74032258064517,2.63,80,474.95763870967744,-70.6712,-33565.82627677936,923828587.2378199
6,923828587.2378199,JAURU,8,177.64032258064518,2.63,80,373.7552387096775,-37.31682,-13947.356966986066,923814639.8808529
6,923814639.8808529,JAURU,9,155.65141129032259,2.63,80,327.4905693548387,-18.46602,-6047.447403517839,923808592.4334494
6,923808592.4334494,JAURU,10,176.98487903225805,2.63,80,372.3761854838709,-4.5777,-1704.626464289516,923806887.8069851
6,923806887.8069851,JAURU,11,243.2369623655914,2.63,80,511.7705688172043,-1.62929,-833.8226700681828,923806053.984315
6,923806053.984315,JAURU,12,356.4777553763441,2.63,80,750.0291973118279,-1.93792,-1453.4965820545376,923804600.487733
6,923804600.487733,NILO PECANHA,1,527.8749327956989,2.63,80,1110.6488586021503,-1076.60817,-1195733.6351722497,922608866.8525608
6,922608866.8525608,NILO PECANHA,2,702.1161290322582,2.63,80,1477.2523354838713,-284.18466,-419812.4526936899,922189054.399867
6,922189054.399867,NILO PECANHA,3,723.3913306451611,2.63,80,1522.015359677419,-124.12547,-188920.87186717868,922000133.5279999
6,922000133.5279999,NILO PECANHA,4,641.1242607526881,2.63,80,1348.9254446236557,-90.6209,-122240.83782469585,921877892.6901752
6,921877892.6901752,NILO PECANHA,5,510.64200268817206,2.63,80,1074.390773655914,-25.45135,-27344.695617087447,921850547.9945581
6,921850547.9945581,NILO PECANHA,6,343.9133064516129,2.63,80,723.5935967741935,-67.91777,-49144.86347918242,921801403.131079
6,921801403.131079,NILO PECANHA,7,225.74032258064517,2.63,80,474.95763870967744,-51.04044,-24242.04686110297,921777161.0842179
6,921777161.0842179,NILO PECANHA,8,177.64032258064518,2.63,80,373.7552387096775,-38.05181,-14222.063329885294,921762939.020888
6,921762939.020888,NILO PECANHA,9,155.65141129032259,2.63,80,327.4905693548387,-30.70364,-10055.152544866001,921752883.8683431
6,921752883.8683431,NILO PECANHA,10,176.98487903225805,2.63,80,372.3761854838709,-23.33247,-8688.456176516855,921744195.4121666
6,921744195.4121666,NILO PECANHA,11,243.2369623655914,2.63,80,511.7705688172043,-24.59527,-12587.13531811272,921731608.2768484
6,921731608.2768484,NILO PECANHA,12,356.4777553763441,2.63,80,750.0291973118279,-12.31008,-9232.919421244387,921722375.3574272
6,921722375.3574272,FONTES,1,527.8749327956989,2.63,80,1110.6488586021503,-252.84926,-280826.7420173983,921441548.6154099
6,921441548.6154099,FONTES,2,702.1161290322582,2.63,80,1477.2523354838713,-225.45498,-333053.89575146954,921108494.7196584
6,921108494.7196584,FONTES,3,723.3913306451611,2.63,80,1522.015359677419,-254.4317,-387248.95538883714,920721245.7642696
6,920721245.7642696,FONTES,4,641.1242607526881,2.63,80,1348.9254446236557,-88.67597,-119617.27225968396,920601628.4920099
6,920601628.4920099,FONTES,5,510.64200268817206,2.63,80,1074.390773655914,-88.79803,-95403.78415082105,920506224.707859
6,920506224.707859,FONTES,6,343.9133064516129,2.63,80,723.5935967741935,-76.46112,-55326.77683418322,920450897.9310249
6,920450897.9310249,FONTES,7,225.74032258064517,2.63,80,474.95763870967744,-53.55575,-25436.71255932581,920425461.2184656
6,920425461.2184656,FONTES,8,177.64032258064518,2.63,80,373.7552387096775,-27.66552,-10340.133031627356,920415121.085434
6,920415121.085434,FONTES,9,155.65141129032259,2.63,80,327.4905693548387,0.0,0.0,920415121.085434
6,920415121.085434,FONTES,10,176.98487903225805,2.63,80,372.3761854838709,0.0,0.0,920415121.085434
6,920415121.085434,FONTES,11,243.2369623655914,2.63,80,511.7705688172043,0.0,0.0,920415121.085434
6,920415121.085434,FONTES,12,356.4777553763441,2.63,80,750.0291973118279,0.0,0.0,920415121.085434
6,920414724.0074663,BAGUARI,1,527.8749327956989,2.63,80,1110.6488586021503,-377.68329,-419473.51495160494,919995250.4925147
6,919995250.4925147,BAGUARI,2,702.1161290322582,2.63,80,1477.2523354838713,34.06658,50324.93486694814,920045575.4273816
6,920045575.4273816,BAGUARI,3,723.3913306451611,2.63,80,1522.015359677419,-124.79087,-189933.62088750803,919855641.8064941
6,919855641.8064941,BAGUARI,4,641.1242607526881,2.63,80,1348.9254446236557,37.33563,50362.9812980543,919906004.7877922
6,919906004.7877922,BAGUARI,5,510.64200268817206,2.63,80,1074.390773655914,-18.34809,-19713.01861020834,919886291.769182
6,919886291.769182,BAGUARI,6,343.9133064516129,2.63,80,723.5935967741935,-15.6847,-11349.348487324192,919874942.4206946
6,919874942.4206946,BAGUARI,7,225.74032258064517,2.63,80,474.95763870967744,-14.13685,-6714.404894792904,919868228.0157998
6,919868228.0157998,BAGUARI,8,177.64032258064518,2.63,80,373.7552387096775,-10.67732,-3990.704285379614,919864237.3115144
6,919864237.3115144,BAGUARI,9,155.65141129032259,2.63,80,327.4905693548387,-10.13958,-3320.6168272189357,919860916.6946871
6,919860916.6946871,BAGUARI,10,176.98487903225805,2.63,80,372.3761854838709,-7.72015,-2874.8000083633065,919858041.8946787
6,919858041.8946787,BAGUARI,11,243.2369623655914,2.63,80,511.7705688172043,-6.95373,-3558.7143575012583,919854483.1803212
6,919854483.1803212,BAGUARI,12,356.4777553763441,2.63,80,750.0291973118279,-3.83985,-2879.9996132978226,919851603.1807079
6,919851603.1807079,D. FRANCISCA,1,527.8749327956989,2.63,80,1110.6488586021503,-25.6063,-28439.607868024243,919823163.5728399
6,919823163.5728399,D. FRANCISCA,2,702.1161290322582,2.63,80,1477.2523354838713,-2.8616,-4227.305283220647,919818936.2675567
6,919818936.2675567,D. FRANCISCA,3,723.3913306451611,2.63,80,1522.015359677419,-22.30476,-33948.18731391851,919784988.0802428
6,919784988.0802428,D. FRANCISCA,4,641.1242607526881,2.63,80,1348.9254446236557,-2.48333,-3349.827024397263,919781638.2532184
6,919781638.2532184,D. FRANCISCA,5,510.64200268817206,2.63,80,1074.390773655914,-1.26351,-1357.5034864219838,919780280.749732
6,919780280.749732,D. FRANCISCA,6,343.9133064516129,2.63,80,723.5935967741935,-1.3529,-978.9497770758064,919779301.7999549
6,919779301.7999549,D. FRANCISCA,7,225.74032258064517,2.63,80,474.95763870967744,-2.24333,-1065.4867196465807,919778236.3132353
6,919778236.3132353,D. FRANCISCA,8,177.64032258064518,2.63,80,373.7552387096775,-0.43166,-161.3351863414194,919778074.9780489
6,919778074.9780489,D. FRANCISCA,9,155.65141129032259,2.63,80,327.4905693548387,-2.47107,-809.2521212156614,919777265.7259277
6,919777265.7259277,D. FRANCISCA,10,176.98487903225805,2.63,80,372.3761854838709,-2.37772,-885.4063037487095,919776380.319624
6,919776380.319624,D. FRANCISCA,11,243.2369623655914,2.63,80,511.7705688172043,-1.29564,-663.0704197823226,919775717.2492042
6,919775717.2492042,D. FRANCISCA,12,356.4777553763441,2.63,80,750.0291973118279,-2.64809,-1986.1448171094783,919773731.104387
6,919770217.7605698,SAO DOMINGOS,1,527.8749327956989,2.63,80,1110.6488586021503,-1036.34718,-1151017.812582557,918619199.9479872
6,918619199.9479872,SAO DOMINGOS,2,702.1161290322582,2.63,80,1477.2523354838713,-1129.50232,-1668559.940154451,916950640.0078328
6,916950640.0078328,SAO DOMINGOS,3,723.3913306451611,2.63,80,1522.015359677419,-211.27816,-321568.60468438326,916629071.4031484
6,916629071.4031484,SAO DOMINGOS,4,641.1242607526881,2.63,80,1348.9254446236557,-177.91418,-239992.9643613531,916389078.4387871
6,916389078.4387871,SAO DOMINGOS,5,510.64200268817206,2.63,80,1074.390773655914,-131.87171,-141681.74853022833,916247396.6902568
6,916247396.6902568,SAO DOMINGOS,6,343.9133064516129,2.63,80,723.5935967741935,-112.55981,-81447.55777011983,916165949.1324867
6,916165949.1324867,SAO DOMINGOS,7,225.74032258064517,2.63,80,474.95763870967744,-87.39805,-41510.371455830325,916124438.7610309
6,916124438.7610309,SAO DOMINGOS,8,177.64032258064518,2.63,80,373.7552387096775,-113.21054,-42313.03240215149,916082125.7286288
6,916082125.7286288,SAO DOMINGOS,9,155.65141129032259,2.63,80,327.4905693548387,-66.43947,-21758.299857933725,916060367.4287708
6,916060367.4287708,SAO DOMINGOS,10,176.98487903225805,2.63,80,372.3761854838709,-41.94733,-15620.186736633144,916044747.2420342
6,916044747.2420342,SAO DOMINGOS,11,243.2369623655914,2.63,80,511.7705688172043,-33.14991,-16965.14829693913,916027782.0937372
6,916027782.0937372,SAO DOMINGOS,12,356.4777553763441,2.63,80,750.0291973118279,-30.62288,-22968.054105776428,916004814.0396315
6,915985983.795565,RETIRO BAIXO,1,527.8749327956989,2.63,80,1110.6488586021503,-2864.45144,-3181399.7223572857,912804584.0732077
6,912804584.0732077,RETIRO BAIXO,2,702.1161290322582,2.63,80,1477.2523354838713,-841.36568,-1242909.4157759754,911561674.6574317
6,911561674.6574317,RETIRO BAIXO,3,723.3913306451611,2.63,80,1522.015359677419,-173.58953,-264205.9309391841,911297468.7264925
6,911297468.7264925,RETIRO BAIXO,4,641.1242607526881,2.63,80,1348.9254446236557,-120.60912,-162692.71082166786,911134776.0156709
6,911134776.0156709,RETIRO BAIXO,5,510.64200268817206,2.63,80,1074.390773655914,-83.91561,-90158.15714970796,911044617.8585212
6,911044617.8585212,RETIRO BAIXO,6,343.9133064516129,2.63,80,723.5935967741935,-80.80077,-58466.919786424354,910986150.9387348
